,dialogue_id,service_call_method,conversation,instruction,service_call_parameters
0,1_00000,FindRestaurants,"USER:I am feeling hungry so I would like to find a place to eat.
SYSTEM:Do you have a specific which you want the eating place to be located at?
USER:I would like for it to be in San Jose.
SYSTEM:Is there a specific cuisine type you enjoy, such as Mexican, Italian or something else?
USER:I usually like eating the American type of food.
",Can you help me find a restaurant in San Jose for American food since I'm feeling hungry?,"{'city': 'San Jose', 'cuisine': 'American'}"
1,1_00001,FindRestaurants,"USER:Hi i need a help, i am very hungry, I am looking for a restaurant
SYSTEM:Sure, I will help you, What type of food are you looking for? Which city should i search in?
USER:Some Punjabi kind of foods in milpitas
",I'm looking for a restaurant in Milpitas for some Punjabi food because I'm really hungry!,"{'city': 'Milpitas', 'cuisine': 'Indian'}"
2,1_00002,FindRestaurants,"USER:Help me find a good restaurant.
SYSTEM:In which city are you looking for the restaurant and do you have any preferred cuisine?
USER:Find me Ethiopian cuisine in Berkeley.
",Please help me find a restaurant for Ethiopian cuisine in Berkeley!,"{'city': 'Berkeley', 'cuisine': 'Ethiopian'}"
3,1_00003,FindRestaurants,"USER:I'm looking for a place to eat.
SYSTEM:Which city should I search in? What kind of food are you looking for?
USER:Some Freshwater fish kind of food in Palo Alto would be perfect.
",Can you find a restaurant in Palo Alto for me that serves some freshwater fish?,"{'city': 'Palo Alto', 'cuisine': 'Seafood'}"
4,1_00004,FindRestaurants,"USER:I'd like to find a place to eat.
SYSTEM:Where should I look? What kind of food are you in the mood for? You can say things like Mexican, Italian or any other kind of food.
USER:Lobster sounds great. Please search in San Mateo.
",I'd like to find a restaurant for two people in San Mateo on a Saturday that serves lobster.,"{'city': 'San Mateo', 'cuisine': 'Seafood'}"
5,1_00005,FindRestaurants,"USER:I'm looking for a Filipino place to eat.
SYSTEM:Which City are you looking at?
USER:I want to eat in San Bruno
",Find a restaurant for me in San Bruno that serves Filipino cuisine.,"{'city': 'San Bruno', 'cuisine': 'Filipino'}"
6,1_00006,FindRestaurants,"USER:Can you help find a place to eat?
SYSTEM:What kind of food like Indian or Chinese?
USER:I would like Freshwater fish.
SYSTEM:Do you have a city?
USER:The city is San Jose.
",Can you help find a restaurant for two people in San Jose on a Friday evening that serves freshwater fish?,"{'city': 'San Jose', 'cuisine': 'Seafood'}"
7,1_00007,FindRestaurants,"USER:My friend and I are looking for a place to eat.
SYSTEM:Please tell me what type of food you are looking for just say Mexican, Chinese or anything else. Also what city would you like me to search int.
USER:My family and I are in San Jose and the perfect place would have pizza and pasta. We don't have a price preference.
",Can you help me Find a Restaurant for my family and I in San Jose that serves pizza and pasta?,"{'city': 'San Jose', 'cuisine': 'Italian'}"
8,1_00008,FindRestaurants,"USER:Can you find me something economical to eat in Pleasanton.
SYSTEM:Are you looking for Italian, Indian or something else?
USER:I would like some Italian food.
",Can you find a restaurant for me in Pleasanton that serves Italian food?,"{'city': 'Pleasanton', 'cuisine': 'Italian', 'price_range': 'moderate'}"
9,1_00009,FindRestaurants,"USER:I am looking to eat somewhere
SYSTEM:What city would you like to go? Do you want American or Italian?
USER:I want some breakfast in Fairfield
",Find a restaurant for breakfast in Fairfield.,"{'city': 'Fairfield', 'cuisine': 'Breakfast'}"
10,1_00010,FindRestaurants,"USER:I'm starving! Can you help me find a restaurant that serves Breakfast in Fairfield?
","I'm really hungry, so could you help me find a restaurant in Fairfield that serves breakfast?","{'city': 'Fairfield', 'cuisine': 'Breakfast'}"
