dialogue_id,conversation,services,intent,service_calls
80_00000,"USER:I want to find restaurant to eat at as well.
SYSTEM:What kind of food are you thinking of?
USER:Some Cantonese would be great!
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'San Carlos', 'cuisine': 'Chinese'}}]"
80_00002,"USER:Now I'd like to find an Asian Fusion restaurant nearby.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'Castro Valley', 'cuisine': 'Sushi'}}]"
80_00003,"USER:I will need to get a bite to eat when I get there.
SYSTEM:What type of cuisine?
USER:I want to eat noodles.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'San Ramon', 'cuisine': 'Chinese'}}]"
80_00005,"USER:Yes please, could you help to find a restaurant to dine in?
SYSTEM:Do you have any preference on the type of food you would like, such as Chinese or Mexican?
USER:I would prefer some Southern food at a place which plays live music please.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'San Jose', 'cuisine': 'American', 'has_live_music': 'True'}}]"
80_00007,"USER:I haven't had a chance to eat. Please find me a restaurant there.
SYSTEM:Did you have a particular cuisine such as Chinese, American or anything else in mind?
USER:Any place serving Burgers works for me.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'Napa', 'cuisine': 'Steakhouse'}}]"
80_00008,"USER:Okay, now can you help me find a place to eat there as well?
SYSTEM:Sure, do you have a particular type of cuisine in mind?
USER:Yes, some average priced barbecue sounds really good.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'Santa Rosa', 'cuisine': 'American', 'price_range': 'moderate'}}]"
80_00010,"USER:Ok, thanks. Can you see what restaurants are around there also?
SYSTEM:Sure, what kind of food do you want?
USER:I'm just looking for a light meal, and any price range is fine.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'Cupertino', 'cuisine': 'Tapas'}}]"
80_00013,"USER:Can you also find me a restaurant near there?
SYSTEM:What kind of food would you like me to look for?
USER:Find me some American food.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'San Francisco', 'cuisine': 'American'}}]"
80_00014,"USER:please also find me a restaurant
SYSTEM:what do you like
USER:i want some tacos
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'Gilroy', 'cuisine': 'Mexican'}}]"
80_00019,"USER:I also need to find a restaurant there.
SYSTEM:Is there any kind of food you are interested in? You can specify Italian, Chinese, or something else.
USER:American food would be ideal for me.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'Redwood City', 'cuisine': 'American'}}]"
