dialogue_id,conversation,services,intent,service_calls
66_00090,"USER:Thank you! Are there any hotels I can stay in that area?
[{'method': 'SearchHotel', 'parameters': {'location': 'Chicago'}}]
",['Travel_1'],['SearchHotel'],"[{'method': 'SearchHotel', 'parameters': {'location': 'Chicago'}}]"
66_00091,"USER:I also need three hotel rooms.
[{'method': 'SearchHotel', 'parameters': {'location': 'Atlanta', 'number_of_rooms': '3', 'pets_welcome': 'True'}}]
",['Travel_1'],['SearchHotel'],"[{'method': 'SearchHotel', 'parameters': {'location': 'Atlanta', 'number_of_rooms': '3', 'pets_welcome': 'True'}}]"
66_00092,"USER:Thanks, find a hotel there.
[{'method': 'SearchHotel', 'parameters': {'location': 'Chicago'}}]
",['Travel_1'],['SearchHotel'],"[{'method': 'SearchHotel', 'parameters': {'location': 'Chicago'}}]"
66_00093,"USER:Thanks for the help! I want 1 room at a hotel in San Fran.
[{'method': 'SearchHotel', 'parameters': {'location': 'San Francisco', 'number_of_rooms': '1'}}]
",['Travel_1'],['SearchHotel'],"[{'method': 'SearchHotel', 'parameters': {'location': 'San Francisco', 'number_of_rooms': '1'}}]"
66_00094,"USER:I also need 2 rooms at a pet-friendly hotel.
[{'method': 'SearchHotel', 'parameters': {'location': 'San Francisco', 'number_of_rooms': '2', 'pets_welcome': 'True'}}]
",['Travel_1'],['SearchHotel'],"[{'method': 'SearchHotel', 'parameters': {'location': 'San Francisco', 'number_of_rooms': '2', 'pets_welcome': 'True'}}]"
66_00095,"USER:I need to find a hotel there also. Thanks.
[{'method': 'SearchHotel', 'parameters': {'location': 'New York'}}]
",['Travel_1'],['SearchHotel'],"[{'method': 'SearchHotel', 'parameters': {'location': 'New York'}}]"
66_00096,"USER:You have been so much help. Can you also help with a hotel reservation for while I am there?
[{'method': 'SearchHotel', 'parameters': {'location': 'Los Angeles'}}]
",['Travel_1'],['SearchHotel'],"[{'method': 'SearchHotel', 'parameters': {'location': 'Los Angeles'}}]"
66_00097,"USER:Cool, thanks for the help. Can you find me a nice hotel to stay in?
[{'method': 'SearchHotel', 'parameters': {'location': 'Chicago'}}]
",['Travel_1'],['SearchHotel'],"[{'method': 'SearchHotel', 'parameters': {'location': 'Chicago'}}]"
66_00098,"USER:Thanks. I want to find a hotel.
[{'method': 'SearchHotel', 'parameters': {'location': 'Los Angeles'}}]
",['Travel_1'],['SearchHotel'],"[{'method': 'SearchHotel', 'parameters': {'location': 'Los Angeles'}}]"
66_00099,"USER:Thanks a lot. I would need a hotel to stay in when I get there.
[{'method': 'SearchHotel', 'parameters': {'location': 'Los Angeles'}}]
",['Travel_1'],['SearchHotel'],"[{'method': 'SearchHotel', 'parameters': {'location': 'Los Angeles'}}]"
66_00100,"USER:Thanks, I need 2 hotel rooms there.
[{'method': 'SearchHotel', 'parameters': {'location': 'New York', 'number_of_rooms': '2'}}]
",['Travel_1'],['SearchHotel'],"[{'method': 'SearchHotel', 'parameters': {'location': 'New York', 'number_of_rooms': '2'}}]"
66_00101,"USER:Thanks a lot. Now I need to find a hotel.
[{'method': 'SearchHotel', 'parameters': {'location': 'Portland'}}]
",['Travel_1'],['SearchHotel'],"[{'method': 'SearchHotel', 'parameters': {'location': 'Portland'}}]"
66_00102,"USER:I'd like to look for a hotel nearby.
[{'method': 'SearchHotel', 'parameters': {'location': 'Philadelphia'}}]
",['Travel_1'],['SearchHotel'],"[{'method': 'SearchHotel', 'parameters': {'location': 'Philadelphia'}}]"
66_00103,"USER:I need three hotel rooms there too.
[{'method': 'SearchHotel', 'parameters': {'location': 'San Francisco', 'number_of_rooms': '3'}}]
",['Travel_1'],['SearchHotel'],"[{'method': 'SearchHotel', 'parameters': {'location': 'San Francisco', 'number_of_rooms': '3'}}]"
66_00104,"USER:Awesome thank you. Can you also help me book 1 room at a hotel?
[{'method': 'SearchHotel', 'parameters': {'location': 'Los Angeles', 'number_of_rooms': '1'}}]
",['Travel_1'],['SearchHotel'],"[{'method': 'SearchHotel', 'parameters': {'location': 'Los Angeles', 'number_of_rooms': '1'}}]"
66_00105,"USER:Thanks I also need a hotel there.
[{'method': 'SearchHotel', 'parameters': {'location': 'Portland'}}]
",['Travel_1'],['SearchHotel'],"[{'method': 'SearchHotel', 'parameters': {'location': 'Portland'}}]"
66_00106,"USER:I need a hotel there as well.
[{'method': 'SearchHotel', 'parameters': {'location': 'Phoenix'}}]
",['Travel_1'],['SearchHotel'],"[{'method': 'SearchHotel', 'parameters': {'location': 'Phoenix'}}]"
66_00107,"USER:I need one hotel room there.
[{'method': 'SearchHotel', 'parameters': {'location': 'Atlanta', 'number_of_rooms': '1'}}]
",['Travel_1'],['SearchHotel'],"[{'method': 'SearchHotel', 'parameters': {'location': 'Atlanta', 'number_of_rooms': '1'}}]"
66_00108,"USER:That's okay. Thanks for telling me. Now I want to find a hotel in Atlanta.
[{'method': 'SearchHotel', 'parameters': {'location': 'Atlanta'}}]
",['Travel_1'],['SearchHotel'],"[{'method': 'SearchHotel', 'parameters': {'location': 'Atlanta'}}]"
66_00109,"USER:Okay. Thank you for helping me book my flight. Moving on, I'll be needing somewhere to stay. Help me find a hotel there.
[{'method': 'SearchHotel', 'parameters': {'location': 'Seattle'}}]
",['Travel_1'],['SearchHotel'],"[{'method': 'SearchHotel', 'parameters': {'location': 'Seattle'}}]"
66_00110,"USER:Thanks. I need a hotel aswell.
[{'method': 'SearchHotel', 'parameters': {'location': 'Los Angeles'}}]
",['Travel_1'],['SearchHotel'],"[{'method': 'SearchHotel', 'parameters': {'location': 'Los Angeles'}}]"
66_00111,"USER:I also need a hotel there.
[{'method': 'SearchHotel', 'parameters': {'location': 'San Francisco'}}]
",['Travel_1'],['SearchHotel'],"[{'method': 'SearchHotel', 'parameters': {'location': 'San Francisco'}}]"
