dialogue_id,conversation,services,intent,service_calls
66_00091,"USER:I also need three hotel rooms.
SYSTEM:Aloft Atlanta Downtown has a rating of 4.0.
USER:Anything else? I need 1 room.
SYSTEM:I found 9 hotels like Country Inn & Suites by Radisson, Atlanta Downtown South at Turner Field, Ga and the rating is 3.3.
USER:What is the phone number and street address?
SYSTEM:The phone number is +1 404-658-1961 and the address is 759 Pollard Boulevard Southwest.
USER:Make a reservation for the 3rd of March.
SYSTEM:Are you checking out March 6th?
USER:Yes.
SYSTEM:Please confirm, Country Inn & Suites by Radisson, Atlanta Downtown South at Turner Field, Ga in Atlanta checking in March 3rd, checking out March 6th. Reservation for 1 room.
USER:Yes.
[{'method': 'ReserveHotel', 'parameters': {'check_in_date': '2019-03-03', 'check_out_date': '2019-03-06', 'hotel_name': 'Country Inn & Suites By Radisson, Atlanta Downtown South At Turner Field, Ga', 'location': 'Atlanta', 'number_of_rooms': '1'}}]
",['Travel_1'],"['SearchHotel', 'ReserveHotel']","[{'method': 'ReserveHotel', 'parameters': {'check_in_date': '2019-03-03', 'check_out_date': '2019-03-06', 'hotel_name': 'Country Inn & Suites By Radisson, Atlanta Downtown South At Turner Field, Ga', 'location': 'Atlanta', 'number_of_rooms': '1'}}]"
66_00092,"USER:Thanks, find a hotel there.
SYSTEM:I found 10 places. AC Hotel by Marriott Chicago Downtown is rated 4.3.
USER:Good, book it.
SYSTEM:Checking out March 6th?
USER:The 5th of this month.
SYSTEM:Checking in March 2nd?
USER:No, Monday next week.
SYSTEM:Please confirm: 1 room at Ac Hotel by Marriott Chicago Downtown in Chicago from March 4th to March 5th.
USER:Yes. Their number?
[{'method': 'ReserveHotel', 'parameters': {'check_in_date': '2019-03-04', 'check_out_date': '2019-03-05', 'hotel_name': 'Ac Hotel By Marriott Chicago Downtown', 'location': 'Chicago', 'number_of_rooms': '1'}}]
",['Travel_1'],"['SearchHotel', 'ReserveHotel']","[{'method': 'ReserveHotel', 'parameters': {'check_in_date': '2019-03-04', 'check_out_date': '2019-03-05', 'hotel_name': 'Ac Hotel By Marriott Chicago Downtown', 'location': 'Chicago', 'number_of_rooms': '1'}}]"
66_00093,"USER:Thanks for the help! I want 1 room at a hotel in San Fran.
SYSTEM:How about Amsterdam Hostel San Francisco? It has a rating of 3.5.
USER:What's the address and the number?
SYSTEM:The number is +1 415-673-3277. The address is 749 Taylor Street.
USER:That's great. I want to make reservation for the 6th of this month.
SYSTEM:Would you like to check out on March 12th.
USER:Yes, that works.
SYSTEM:Please confirm the following: Making a reservation for 1 room at Amsterdam Hostel San Francisco in San Francisco. Check-in is March 6th. The check-out is March 12th.
USER:Yes, that is great.
[{'method': 'ReserveHotel', 'parameters': {'check_in_date': '2019-03-06', 'check_out_date': '2019-03-12', 'hotel_name': 'Amsterdam Hostel San Francisco', 'location': 'San Francisco', 'number_of_rooms': '1'}}]
",['Travel_1'],"['SearchHotel', 'ReserveHotel']","[{'method': 'ReserveHotel', 'parameters': {'check_in_date': '2019-03-06', 'check_out_date': '2019-03-12', 'hotel_name': 'Amsterdam Hostel San Francisco', 'location': 'San Francisco', 'number_of_rooms': '1'}}]"
66_00099,"USER:Thanks a lot. I would need a hotel to stay in when I get there.
SYSTEM:I have found 10 hotels. How about Ac hotel by marriott beverly hills. It has a rating of 4.4.
USER:May I have a number and address?
SYSTEM:The number is +1 323-852-7000 and the address is 6399 wilshire boulevard.
USER:Go ahead and make the reservation.
SYSTEM:You would like to check in at March 2nd and check out at March 6th?
USER:I want to check out on march 3rd.
SYSTEM:You would like to reserve 1 room at ac hotel by marriott beverly hills in los angeles from march 2nd to march 3rd.
USER:Yes, that would be great.
[{'method': 'ReserveHotel', 'parameters': {'check_in_date': '2019-03-02', 'check_out_date': '2019-03-03', 'hotel_name': 'Ac Hotel By Marriott Beverly Hills', 'location': 'Los Angeles', 'number_of_rooms': '1'}}]
",['Travel_1'],"['SearchHotel', 'ReserveHotel']","[{'method': 'ReserveHotel', 'parameters': {'check_in_date': '2019-03-02', 'check_out_date': '2019-03-03', 'hotel_name': 'Ac Hotel By Marriott Beverly Hills', 'location': 'Los Angeles', 'number_of_rooms': '1'}}]"
66_00100,"USER:Thanks, I need 2 hotel rooms there.
SYSTEM:1 Hotel Brooklyn Bridge is a 4.5 rated hotel.
USER:What is the phone number an street address?
SYSTEM:The phone number is +1 833-625-6111 and the address is 60 Furman Street, Brooklyn.
USER:That is perfect. I want to check in on the 5th of this month.
SYSTEM:Are you checking out March 11th?
USER:No, checking out March 9th.
SYSTEM:Please confirm, checking in to 1 Hotel Brooklyn Bridge in New York on March 5th. Checking out March 9th. You have booked 2 rooms.
USER:Yes, that is perfect.
[{'method': 'ReserveHotel', 'parameters': {'check_in_date': '2019-03-05', 'check_out_date': '2019-03-09', 'hotel_name': '1 Hotel Brooklyn Bridge', 'location': 'New York', 'number_of_rooms': '2'}}]
",['Travel_1'],"['SearchHotel', 'ReserveHotel']","[{'method': 'ReserveHotel', 'parameters': {'check_in_date': '2019-03-05', 'check_out_date': '2019-03-09', 'hotel_name': '1 Hotel Brooklyn Bridge', 'location': 'New York', 'number_of_rooms': '2'}}]"
66_00104,"USER:Awesome thank you. Can you also help me book 1 room at a hotel?
SYSTEM:Sure. What about Ac Hotel By Marriott Beverly Hills, which has a rating of 4.4?
USER:Maybe. What's their phone number?
SYSTEM:Their phone number is listed as +1 323-852-7000.
USER:What's their address, and do they allow pets?
SYSTEM:Their address is 6399 Wilshire Boulevard, and they do not allowed pets.
USER:Sounds good to me. Can you make a reservation there for me? I'd like it to be from this Saturday until Wednesday next week.
SYSTEM:You would like to book 1 room at the Ac Hotel By Marriott Beverly Hills in Los Angeles from March 2nd to March 6th. Is that correct?
USER:Yes that all works for me. What will the price be?
[{'method': 'ReserveHotel', 'parameters': {'check_in_date': '2019-03-02', 'check_out_date': '2019-03-06', 'hotel_name': 'Ac Hotel By Marriott Beverly Hills', 'location': 'Los Angeles', 'number_of_rooms': '1'}}]
",['Travel_1'],"['SearchHotel', 'ReserveHotel']","[{'method': 'ReserveHotel', 'parameters': {'check_in_date': '2019-03-02', 'check_out_date': '2019-03-06', 'hotel_name': 'Ac Hotel By Marriott Beverly Hills', 'location': 'Los Angeles', 'number_of_rooms': '1'}}]"
66_00105,"USER:Thanks I also need a hotel there.
SYSTEM:I found 10, how about Aloft Portland AIrport At Cascade Station which is rated 4.3.
USER:What is the phone number there?
SYSTEM:The number is +1 503-200-5678.
USER:Do you have anything else?
SYSTEM:Best Western Plus Portland Airport Hotel & Suites is rated 4.4.
USER:What is the phone number and address to that one?
SYSTEM:The number is +1 503-251-9991 and it's located 11938 Northeast Airport Way.
USER:What else did you find?
SYSTEM:Canopy by Hilton Portland Pearl District is a 4.7.
USER:Perfect, please reserve 1 room on March 3rd through the 8th of this month.
SYSTEM:You want to reserve 1 room at Canopy by Hilton Portland Pearl District in Portland on March 3rd through march 8th.
USER:That's correct, how much is it?
[{'method': 'ReserveHotel', 'parameters': {'check_in_date': '2019-03-03', 'check_out_date': '2019-03-08', 'hotel_name': 'Canopy By Hilton Portland Pearl District', 'location': 'Portland', 'number_of_rooms': '1'}}]
",['Travel_1'],"['SearchHotel', 'ReserveHotel']","[{'method': 'ReserveHotel', 'parameters': {'check_in_date': '2019-03-03', 'check_out_date': '2019-03-08', 'hotel_name': 'Canopy By Hilton Portland Pearl District', 'location': 'Portland', 'number_of_rooms': '1'}}]"
66_00108,"USER:That's okay. Thanks for telling me. Now I want to find a hotel in Atlanta.
SYSTEM:The AC Hotel by Marriott Atlanta Buckhead at Phipps Plaza is a highly rated hotel. It has a customer rating of 4.5 Perhaps this is the hotel for you?
USER:It just might be. Please give me the phone number.
SYSTEM:The phone number for the hotel is +1 470-231-3030.
USER:Thank you! That sounds just right. Go ahead and book one room for Saturday this week.
SYSTEM:Do you want the check out to be on March 7th?
USER:No I'll be checking out a bit earlier than that. Make it March 3rd.
SYSTEM:Confirm your reservation request: Making a reservation for the Ac Hotel By Marriott Atlanta Buckhead at Phipps Plaza in Atlanta. I will book 1 room with a check-in date of March 2nd and a check-out date on March 3rd.
USER:I think that's everything. Yeah, go ahead with that reservation.
[{'method': 'ReserveHotel', 'parameters': {'check_in_date': '2019-03-02', 'check_out_date': '2019-03-03', 'hotel_name': 'Ac Hotel By Marriott Atlanta Buckhead At Phipps Plaza', 'location': 'Atlanta', 'number_of_rooms': '1'}}]
",['Travel_1'],"['SearchHotel', 'ReserveHotel']","[{'method': 'ReserveHotel', 'parameters': {'check_in_date': '2019-03-02', 'check_out_date': '2019-03-03', 'hotel_name': 'Ac Hotel By Marriott Atlanta Buckhead At Phipps Plaza', 'location': 'Atlanta', 'number_of_rooms': '1'}}]"
66_00115,"USER:I would also like to find one hotel room there.
SYSTEM:I found 10 hotels. There's Aka University City with a 4.6 rating.
USER:That works. I want to check in on the 9th.
SYSTEM:Did you want to check out March 14th?
USER:Yes I do.
SYSTEM:Please confirm: You would like 1 room at the Aka University City hotel in Philadelphia from March 9th until March 14th.
USER:Correct. What is their address and phone number?
[{'method': 'ReserveHotel', 'parameters': {'check_in_date': '2019-03-09', 'check_out_date': '2019-03-14', 'hotel_name': 'Aka University City', 'location': 'Philadelphia', 'number_of_rooms': '1'}}]
",['Travel_1'],"['SearchHotel', 'ReserveHotel']","[{'method': 'ReserveHotel', 'parameters': {'check_in_date': '2019-03-09', 'check_out_date': '2019-03-14', 'hotel_name': 'Aka University City', 'location': 'Philadelphia', 'number_of_rooms': '1'}}]"
66_00116,"USER:Thanks. Will you find 1 hotel room?
SYSTEM:I found 10 hotels. Ace Hotel Seattle is rated 4.5.
USER:Their number?
SYSTEM:+1 206-448-4721.
USER:Great. Will you make a hotel reservation with check out on Tuesday next week?
SYSTEM:Check in on March 3rd?
USER:Check in on Monday next week.
SYSTEM:Please confirm 1 room at Ace Hotel Seattle in Seattle with check in on March 4th and check out on March 5th.
USER:Fantastic.
[{'method': 'ReserveHotel', 'parameters': {'check_in_date': '2019-03-04', 'check_out_date': '2019-03-05', 'hotel_name': 'Ace Hotel Seattle', 'location': 'Seattle', 'number_of_rooms': '1'}}]
",['Travel_1'],"['SearchHotel', 'ReserveHotel']","[{'method': 'ReserveHotel', 'parameters': {'check_in_date': '2019-03-04', 'check_out_date': '2019-03-05', 'hotel_name': 'Ace Hotel Seattle', 'location': 'Seattle', 'number_of_rooms': '1'}}]"
