dialogue_id,conversation,turn_services,intent,service_calls
1_00000,"USER:I am feeling hungry so I would like to find a place to eat.
SYSTEM:Do you have a specific which you want the eating place to be located at?
USER:I would like for it to be in San Jose.
SYSTEM:Is there a specific cuisine type you enjoy, such as Mexican, Italian or something else?
USER:I usually like eating the American type of food.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'San Jose', 'cuisine': 'American'}}]"
1_00001,"USER:Hi i need a help, i am very hungry, I am looking for a restaurant
SYSTEM:Sure, I will help you, What type of food are you looking for? Which city should i search in?
USER:Some Punjabi kind of foods in milpitas
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'Milpitas', 'cuisine': 'Indian'}}]"
1_00002,"USER:Help me find a good restaurant.
SYSTEM:In which city are you looking for the restaurant and do you have any preferred cuisine?
USER:Find me Ethiopian cuisine in Berkeley.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'Berkeley', 'cuisine': 'Ethiopian'}}]"
1_00003,"USER:I'm looking for a place to eat.
SYSTEM:Which city should I search in? What kind of food are you looking for?
USER:Some Freshwater fish kind of food in Palo Alto would be perfect.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'Palo Alto', 'cuisine': 'Seafood'}}]"
1_00004,"USER:I'd like to find a place to eat.
SYSTEM:Where should I look? What kind of food are you in the mood for? You can say things like Mexican, Italian or any other kind of food.
USER:Lobster sounds great. Please search in San Mateo.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'San Mateo', 'cuisine': 'Seafood'}}]"
1_00005,"USER:I'm looking for a Filipino place to eat.
SYSTEM:Which City are you looking at?
USER:I want to eat in San Bruno
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'San Bruno', 'cuisine': 'Filipino'}}]"
1_00006,"USER:Can you help find a place to eat?
SYSTEM:What kind of food like Indian or Chinese?
USER:I would like Freshwater fish.
SYSTEM:Do you have a city?
USER:The city is San Jose.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'San Jose', 'cuisine': 'Seafood'}}]"
1_00007,"USER:My friend and I are looking for a place to eat.
SYSTEM:Please tell me what type of food you are looking for just say Mexican, Chinese or anything else. Also what city would you like me to search int.
USER:My family and I are in San Jose and the perfect place would have pizza and pasta. We don't have a price preference.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'San Jose', 'cuisine': 'Italian'}}]"
1_00008,"USER:Can you find me something economical to eat in Pleasanton.
SYSTEM:Are you looking for Italian, Indian or something else?
USER:I would like some Italian food.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'Pleasanton', 'cuisine': 'Italian', 'price_range': 'moderate'}}]"
1_00009,"USER:I am looking to eat somewhere
SYSTEM:What city would you like to go? Do you want American or Italian?
USER:I want some breakfast in Fairfield
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'Fairfield', 'cuisine': 'Breakfast'}}]"
1_00010,"USER:I'm starving! Can you help me find a restaurant that serves Breakfast in Fairfield?
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'Fairfield', 'cuisine': 'Breakfast'}}]"
1_00011,"USER:Can you help me find a place to eat at?
SYSTEM:Which city are you looking in?
USER:Cupertino, please.
SYSTEM:What kind of food would you like? American, Indian, or something else?
USER:Malaysian sounds good right now.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'Cupertino', 'cuisine': 'Malaysian'}}]"
1_00012,"USER:Hello, could you help me search for a place to dine in?
SYSTEM:Sure thing, which area are you interested in and what is your preferred cuisine, such as Italian and Indian?
USER:I would prefer a restaurant which serves up Cambodian food in SF.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'San Francisco', 'cuisine': 'Vietnamese'}}]"
1_00013,"USER:I have a plan to eat out side for which I need some best places, can you search one for me?
SYSTEM:Do you have any interested type of food to eat and in which city?
USER:Asian kind of food will be good for me and please search it in Fremont City.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'Fremont', 'cuisine': 'Asian'}}]"
1_00014,"USER:I want to find a restaurant in Albany.
SYSTEM:What type of restaurant would you like
USER:Barbecue is the best.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'Albany', 'cuisine': 'American'}}]"
1_00015,"USER:Can you pull up a list of places to eat?
SYSTEM:Sure, what city should I search? And what kind of food would you like?
USER:Search San Francisco for Asian Fusion food
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'San Francisco', 'cuisine': 'Asian'}}]"
1_00016,"USER:I'm looking for a good place to get something to eat, can you help?
SYSTEM:Sure. What kind of food do you want? You can ask for Mexican, American, Sushi, or anything else. And also, what city should I search in?
USER:Oh, I'm in Oakland. Please find an American restaurant.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'Oakland', 'cuisine': 'American'}}]"
1_00017,"USER:I'm looking for somewhere to eat.
SYSTEM:Where should I search?
USER:In Oakland.
SYSTEM:What type of cuisine? For example, Chinese, American, or something else?
USER:I want pizza and pasta.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'Oakland', 'cuisine': 'Italian'}}]"
1_00018,"USER:I'm looking for a restaurant.
SYSTEM:In what city are you located and what type of food.
USER:Asian Fusion in Concord.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'Concord', 'cuisine': 'Sushi'}}]"
1_00019,"USER:Are there any Mexican places in Rohnert Park?
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'Rohnert Park', 'cuisine': 'Mexican'}}]"
1_00020,"USER:I'm getting pretty hungry and need to find a place to eat.
SYSTEM:What are your preference for a dining location?
USER:I would like something that I can pick-up in San Fran at any price range.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'San Francisco', 'cuisine': 'Take-out'}}]"
